step,x0,x1,x2,x3,x4,x5,x6,x7,x8,y0,y1,y2,y3,y4,y5,y6,y7,y8
0,0.0,12.5,25.0,37.5,50.0,62.5,75.0,87.5,100.0,0.0,21.650635,0.0,21.650635,0.0,21.650635,0.0,21.650635,0.0
1,0.0,13.5,25.0,38.5,50.0,63.5,75.0,88.5,100.0,0.0,20.650635,0.0,20.650635,0.0,20.650635,0.0,20.650635,0.0
2,0.0,14.5,25.0,39.5,50.0,64.5,75.0,89.5,100.0,0.0,19.650635,0.0,19.650635,0.0,19.650635,0.0,19.650635,0.0
3,0.0,15.5,25.0,40.5,50.0,65.5,75.0,90.5,100.0,0.0,18.650635,0.0,18.650635,0.0,18.650635,0.0,18.650635,0.0
4,0.0,16.5,25.0,41.5,50.0,66.5,75.0,91.5,100.0,0.0,17.650635,0.0,17.650635,0.0,17.650635,0.0,17.650635,0.0
5,0.0,17.5,25.0,42.5,50.0,67.5,75.0,92.5,100.0,0.0,16.650635,0.0,16.650635,0.0,16.650635,0.0,16.650635,0.0
6,0.0,18.5,25.0,43.5,50.0,68.5,75.0,93.5,100.0,0.0,15.650635000000001,0.0,15.650635000000001,0.0,15.650635000000001,0.0,15.650635000000001,0.0
7,0.0,19.5,25.0,44.5,50.0,69.5,75.0,94.5,100.0,0.0,14.650635000000001,0.0,14.650635000000001,0.0,14.650635000000001,0.0,14.650635000000001,0.0
8,0.0,20.5,25.0,45.5,50.0,70.5,75.0,95.5,100.0,0.0,13.650635000000001,0.0,13.650635000000001,0.0,13.650635000000001,0.0,13.650635000000001,0.0
9,0.0,21.5,25.0,46.5,50.0,71.5,75.0,96.5,100.0,0.0,12.650635000000001,0.0,12.650635000000001,0.0,12.650635000000001,0.0,12.650635000000001,0.0
10,0.0,22.5,25.0,47.5,50.0,72.5,75.0,97.5,100.0,0.0,11.650635000000001,0.0,11.650635000000001,0.0,11.650635000000001,0.0,11.650635000000001,0.0
